country,region,hdi
Indonesia,Lampung,.702
Indonesia,Bangka Belitung,.699
Indonesia,DKI Jakarta,.767
Indonesia,West Java,.715
Indonesia,Central Java,.712
Indonesia,DI Yogyakarta,.764
Indonesia,East Java,.711
Indonesia,Banten,.713
Indonesia,Bali,.738
Indonesia,West Nusa Tenggara,.698
Indonesia,East Nusa Tenggara,.656
Indonesia,West Kalimantan,.686
Indonesia,Central Kalimantan,.69
Indonesia,South Kalimantan,.697
Indonesia,East Kalimantan,.734
Indonesia,North Sulawesi,.724
Indonesia,Central Sulawesi,.693
Indonesia,South Sulawesi (incl Sulawesi Barat),.707
Indonesia,Southeast Sulawesi,.704
Indonesia,Gorontalo,.671
Indonesia,Maluku,.698
Indonesia,Irian Jaya (Papua and Papua Barat),.655
India,Andhra Pradesh,.642
India,Assam,.615
India,Bihar,.577
India,Goa,.76
India,Gujarat,.646
India,Haryana,.696
India,Himachal Pradesh,.715
India,Jammu and Kashmir,.72
India,Karnataka,.673
India,Kerala,.758
India,Madhya Pradesh,.611
India,Maharashtra,.695
India,Manipur,.683
India,Meghalaya,.65
India,Mizoram,.709
India,Nagaland,.679
India,Orissa,.61
India,Punjab,.698
India,Rajasthan,.652
India,Sikkim,.712
India,Tamil Nadu,.692
India,West Bengal,.635
India,Uttar Pradesh,.609
India,New Delhi,.734
India,Arunachal Pradesh,.683
India,Tripura,.624
India,Uttaranchal,.681
India,Jharkhand,.6
India,Chhattisgarh,.625
India,Telangana,.66
India,Chandigarth,.751
India,Dadra and Nagar Haveli,.624
India,Puducherry,.741
India,Daman and Diu,.674
India,Lakshadweep,.719
India,Andaman and Nicobar Islands,.706
Ireland,Border,.915
Ireland,Midland,.916
Ireland,West,.943
Ireland,Dublin,.954
Ireland,Mid-East,.943
Ireland,Mid-West,.938
Ireland,South-East,.932
Ireland,South-West,.95
Iran,Markazi,.773
Iran,Gilan,.785
Iran,Mazandaran,.805
Iran,EastAzarbayejan,.767
Iran,WestAzarbayejan,.742
Iran,Kermanshah,.778
Iran,Khuzestan,.784
Iran,Fars,.79
Iran,Kerman,.761
Iran,Khorasan-e-Razavi,.763
Iran,Esfahan,.812
Iran,Sistanand Baluchestan,.671
Iran,Kordestan,.728
Iran,Hamedan,.756
Iran,Chaharmahal and Bakhtiyari,.777
Iran,Lorestan,.763
